time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T14:10:32.359900,2014-02-24T14:10:40.139900,4,"BAM,CPM,IA2,MLM",5,0.9999999403953552
2014-02-24T14:11:02.259900,2014-02-24T14:11:05.519900,4,"BAM,CPM,LAM,MLM",4,0.9999999403953552
2014-02-24T14:11:47.249900,2014-02-24T14:11:54.700000,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T14:11:58.019900,2014-02-24T14:12:05.749900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:12:13.589900,2014-02-24T14:12:21.720000,5,"BAM,CPM,IA2,LAM,MLM",6,1.0
2014-02-24T14:12:36.929900,2014-02-24T14:12:44.699900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:13:15.799900,2014-02-24T14:13:24.559900,6,"BAM,CPM,GBM,LAM,MLM,SAM",7,1.0
2014-02-24T14:13:52.259900,2014-02-24T14:14:00.999900,5,"BAM,CPM,GBM,MLM,SAM",5,1.0
2014-02-24T14:14:02.499900,2014-02-24T14:14:10.430000,4,"BAM,CPM,IA2,MLM",5,0.9999999403953552
2014-02-24T14:14:18.039900,2014-02-24T14:14:25.839900,4,"BAM,CPM,MLM,SAM",5,0.9999995827674866
2014-02-24T14:14:40.619900,2014-02-24T14:14:49.159900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:15:10.959900,2014-02-24T14:15:20.359900,4,"BAM,CPM,GBM,MLM",5,1.0
